"localizacao","bairro","valor_venda","valor_condominio","valor_iptu","area_util","quartos","banheiros","vagas_na_garagem","academia","area_de_servico","churrasqueira","piscina","condominio_fechado","elevador","permitido_animais","salao_de_festas","portaria","seguranca_24h","mobiliado","armarios_na_cozinha","varanda","ar_condicionado","armarios_no_quarto","portao_eletronico","area_murada","quarto_de_servico"
"Avenida Godofredo Maciel - de 1283 a 2343 - lado ímpar, Maraponga, Fortaleza, CE, 60710903","Maraponga",189000,0,0,45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",189000,220,0,49,2,2,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",189000,220,NA,48,2,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"Avenida Godofredo Maciel - de 1283 a 2343 - lado ímpar, Maraponga, Fortaleza, CE, 60710903","Maraponga",189556,0,0,45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maraponga, Fortaleza, CE, 60710903, NA","Maraponga",189994,0,0,45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avenida Godofredo Maciel - de 1283 a 2343 - lado ímpar, Maraponga, Fortaleza, CE, 60710903","Maraponga",189997,0,0,45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avenida Godofredo Maciel - de 1283 a 2343 - lado ímpar, Maraponga, Fortaleza, CE, 60710903","Maraponga",189998,0,0,45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Júlio Alcides, Maraponga, Fortaleza, CE, 60710680","Maraponga",190000,220,100,43,2,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",190000,220,0,48,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",190000,220,400,50,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",190000,251,50,51,2,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"Avenida Godofredo Maciel - de 1282 a 3540 - lado par, Maraponga, Fortaleza, CE, 60710902","Maraponga",190000,270,0,62,2,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"Rua Castro Meireles, Mondubim, Fortaleza, CE, 60711475","Mondubim",190000,300,0,55,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Castro Meireles, Mondubim, Fortaleza, CE, 60711475","Mondubim",190000,300,NA,NA,2,2,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0
"Rua Vinícios de Morais - de 552/553 a 1210/1211Maraponga, Fortaleza, CE, 60711095, Rua Vinícios de Morais - de 552/553 a 1210/1211Maraponga","Maraponga",190000,350,0,72,3,2,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"Rua Benjamim Brasil - de 2/3 ao fim, Mondubim, Fortaleza, CE, 60711442","Mondubim",190000,440,0,67,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
